ticker,min_date,max_date,series_length
DJI,2000-11-27,2024-09-13,8691
TNX,2000-11-27,2024-09-13,8691
SP600,2000-11-27,2024-09-13,8691
UTIL,2000-11-27,2024-09-13,8691
DJINET,2000-11-27,2024-09-13,8691
VIX,2000-11-27,2024-09-13,8691
RUT,2000-11-27,2024-09-13,8691
UKX,2000-11-27,2024-09-13,8691
OEX,2000-11-27,2024-09-13,8691
DXY,2000-11-27,2024-09-13,8691
XAU,2000-11-27,2024-09-13,8691
COMP,2000-11-27,2024-09-13,8691
XAX,2000-11-27,2024-09-13,8691
FVX,2000-11-27,2024-09-13,8691
NYA,2000-11-27,2024-09-13,8691
NDX,2000-11-27,2024-09-13,8691
OSX,2000-11-27,2024-09-13,8691
DRG,2000-11-27,2024-09-13,8691
SGX,2000-11-27,2024-09-13,8691
TYX,2000-11-27,2024-09-13,8691
XMI,2000-11-27,2024-09-13,8691
RUA,2000-11-27,2024-09-13,8691
DAX,2000-11-27,2024-09-13,8691
SVX,2000-11-27,2024-09-13,8691
SPGSCI,2000-11-27,2024-09-13,8691
SPX,2000-11-27,2024-09-13,8691
UTY,2000-11-27,2024-09-13,8691
RUI,2000-11-27,2024-09-13,8691
SET,2001-02-06,2024-09-13,8620
REIT,2001-02-16,2024-09-13,8610
VXN,2001-04-27,2024-09-13,8540
MID,2001-08-28,2024-09-13,8417
CEX,2000-11-27,2023-09-12,8324
DJR,2000-11-27,2023-09-12,8324
DUX,2000-11-27,2023-09-12,8324
ASX,2001-12-31,2024-09-13,8292
BXM,2002-03-14,2024-09-13,8219
HGX,2002-07-03,2024-09-13,8108
DWCPF,2004-04-30,2024-09-13,7441
DWCF,2004-04-30,2024-09-13,7441
VWB,2005-03-09,2024-09-13,7128
VWA,2005-03-09,2024-09-13,7128
DWLV,2005-03-14,2024-09-13,7123
DWLG,2005-03-14,2024-09-13,7123
BXD,2005-03-18,2024-09-13,7119
VXD,2005-03-18,2024-09-13,7119
DJTTR,2005-07-01,2024-09-13,7014
BXN,2005-09-08,2024-09-13,6945
DXL,2005-10-07,2024-09-13,6916
XSP,2005-10-17,2024-09-13,6906
XSR,2005-12-16,2024-09-13,6846
AEX,2005-12-30,2024-09-13,6832
SPXPV,2006-02-23,2024-09-13,6777
SPXPG,2006-02-23,2024-09-13,6777
RVX,2006-05-05,2024-09-13,6706
BXR,2006-05-05,2024-09-13,6706
W5000,2005-05-26,2023-05-31,6579
PUT,2007-06-20,2024-09-13,6295
VPN,2007-11-14,2024-09-13,6148
VPD,2007-11-16,2024-09-13,6146
DJX,2008-01-02,2024-09-13,6099
BKX,2008-01-02,2024-09-13,6099
XEO,2008-01-02,2024-09-13,6099
XND,2008-01-02,2024-09-13,6099
VIX6M,2008-01-07,2024-09-13,6094
CXU,2007-02-22,2023-07-28,6000
CLL,2008-08-26,2024-09-13,5862
EVZ,2009-01-09,2024-09-13,5726
VIX3M,2009-01-09,2024-09-13,5726
OVX,2009-01-09,2024-09-13,5726
GVZ,2009-02-02,2024-09-13,5702
SPSIBI,2010-11-16,2024-09-13,5050
DVS,2010-02-05,2023-09-12,4967
SKEW,2011-02-23,2024-09-13,4951
VIN,2011-04-01,2024-09-13,4914
VIF,2011-04-01,2024-09-13,4914
SP500LVOL,2011-04-04,2024-09-13,4911
VXTH,2011-07-29,2024-09-13,4795
MIDG,2011-11-07,2024-09-13,4694
SPSPG,2011-11-07,2024-09-13,4694
SPSV,2011-11-07,2024-09-13,4694
SPMPV,2011-11-07,2024-09-13,4694
SMLG,2011-11-07,2024-09-13,4694
SPSPV,2011-11-07,2024-09-13,4694
SPTMI,2011-11-07,2024-09-13,4694
MIDV,2011-11-07,2024-09-13,4694
SPMPG,2011-11-07,2024-09-13,4694
VVIX,2012-03-14,2024-09-13,4566
USDOLLAR,2011-04-17,2023-02-03,4310
LOVOL,2012-11-30,2024-09-13,4305
VXTLT,2012-12-13,2024-09-13,4292
XDB,2013-04-08,2024-09-13,4176
XDA,2013-04-08,2024-09-13,4176
VOLI,2013-06-21,2024-09-13,4102
VIX9D,2013-10-01,2024-09-13,4000
NYXBT,2015-05-19,2023-07-19,2983
BRR,2016-11-13,2024-09-13,2861
BRTI,2016-11-14,2024-09-13,2860
WPUT,2017-07-19,2024-09-13,2613
DJCIGR,2017-07-20,2024-09-13,2612
DJCICC,2017-07-20,2024-09-13,2612
DJCIIK,2017-07-20,2024-09-13,2612
DJCIKC,2017-07-20,2024-09-13,2612
DJCIEN,2017-07-20,2024-09-13,2612
DJCISI,2017-07-20,2024-09-13,2612
DJCIGC,2017-07-20,2024-09-13,2612
DJCISB,2017-07-20,2024-09-13,2612
DJCIAGC,2017-07-20,2024-09-13,2612
SMILE,2017-08-04,2024-09-13,2597
RXM,2017-08-04,2024-09-13,2597
SPRO,2017-08-04,2024-09-12,2596
SPEN,2017-08-04,2024-09-12,2596
NYFANG,2017-10-04,2024-09-13,2536
SPRI,2017-08-04,2024-01-26,2366
VIX1Y,2018-04-25,2024-09-13,2333
NQX,2019-03-12,2024-09-13,2012
GXBT,2017-09-28,2022-11-17,1876
VAF,2013-02-15,2017-09-15,1673
MRUT,2021-02-22,2024-09-13,1299
COR3M,2021-05-24,2024-09-13,1208
COR1M,2022-03-18,2024-09-13,910
COR9M,2022-03-18,2024-09-13,910
COR30D,2022-03-18,2024-09-13,910
COR6M,2022-03-18,2024-09-13,910
COR1Y,2022-03-18,2024-09-13,910
